WKT,OBJECTID_1,OBJECTID,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG,OBJECTID_12,ANO,GEO_COD,GEO_COD_DSG,NIVEL,NIVEL_DSG,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASSICOS_1OU2,N_EDIFICIOS_CLASSICOS_ISOLADOS,N_EDIFICIOS_CLASSICOS_GEMIN,N_EDIFICIOS_CLASSICOS_EMBANDA,N_EDIFICIOS_CLASSICOS_3OUMAIS,N_EDIFICIOS_CLASSICOS_OUTROS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_PRINCIPAL_RESID,N_EDIFICIOS_PRINCIP_NAO_RESID,N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,F_N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1919,N_EDIFICIOS_CONSTR_1919A1945,N_EDIFICIOS_CONSTR_1946A1960,N_EDIFICIOS_CONSTR_1961A1970,N_EDIFICIOS_CONSTR_1971A1980,N_EDIFICIOS_CONSTR_1981A1990,N_EDIFICIOS_CONSTR_1991A1995,N_EDIFICIOS_CONSTR_1996A2000,N_EDIFICIOS_CONSTR_2001A2005,N_EDIFICIOS_CONSTR_2006A2011,N_EDIFICIOS_ESTRUT_BETAO,N_EDIFICIOS_ESTRUT_COM_PLACA,N_EDIFICIOS_ESTRUT_SEM_PLACA,N_EDIFICIOS_ESTRUT_ADOBE_PEDRA,N_EDIFICIOS_ESTRUT_OUTRA,N_ALOJAMENTOS,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASSICOS,N_ALOJAMENTOS_FAM_N_CLASSICOS,N_ALOJAMENTOS_COLECTIVOS,N_CLASSICOS_RES_HABITUAL,N_ALOJAMENTOS_RES_HABITUAL,N_ALOJAMENTOS_VAGOS,N_RES_HABITUAL_COM_AGUA,N_RES_HABITUAL_COM_RETRETE,N_RES_HABITUAL_COM_ESGOTOS,N_RES_HABITUAL_COM_BANHO,N_RES_HABITUAL_AREA_50,N_RES_HABITUAL_AREA_50_100,N_RES_HABITUAL_AREA_100_200,N_RES_HABITUAL_AREA_200,N_RES_HABITUAL_1_2_DIV,N_RES_HABITUAL_3_4_DIV,N_RES_HABITUAL_ESTAC_1,N_RES_HABITUAL_ESTAC_2,N_RES_HABITUAL_ESTAC_3,N_RES_HABITUAL_PROP_OCUP,N_RES_HABITUAL_ARREND,N_FAMILIAS_CLASSICAS,N_FAMILIAS_INSTITUCIONAIS,N_FAMILIAS_CLASSICAS_1OU2_PESS,N_FAMILIAS_CLASSICAS_3OU4_PESS,N_FAMILIAS_CLASSICAS_NPES65,N_FAMILIAS_CLASSICAS_NPES14,N_FAMILIAS_CLASSIC_SEM_DESEMP,N_FAMILIAS_CLASSIC_1DESEMPREG,N_FAMILIAS_CLASS_2MAIS_DESEMP,N_NUCLEOS_FAMILIARES,N_NUCLEOS_1FILH_NAO_CASADO,N_NUCLEOS_2FILH_NAO_CASADO,N_NUCLEOS_FILH_INF_6ANOS,N_NUCLEOS_FILH_INF_15ANOS,N_NUCLEOS_FILH_MAIS_15ANOS,N_INDIVIDUOS_PRESENT,N_INDIVIDUOS_PRESENT_H,N_INDIVIDUOS_PRESENT_M,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_H,N_INDIVIDUOS_RESIDENT_M,N_INDIVIDUOS_RESIDENT_0A4,N_INDIVIDUOS_RESIDENT_5A9,N_INDIVIDUOS_RESIDENT_10A13,N_INDIVIDUOS_RESIDENT_14A19,N_INDIVIDUOS_RESIDENT_15A19,N_INDIVIDUOS_RESIDENT_20A24,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_25A64,N_INDIVIDUOS_RESIDENT_65,N_INDIVIDUOS_RESIDENT_H_0A4,N_INDIVIDUOS_RESIDENT_H_5A9,N_INDIVIDUOS_RESIDENT_H_10A13,N_INDIVIDUOS_RESIDENT_H_14A19,N_INDIVIDUOS_RESIDENT_H_15A19,N_INDIVIDUOS_RESIDENT_H_20A24,N_INDIVIDUOS_RESIDENT_H_20A64,N_INDIVIDUOS_RESIDENT_H_25A64,N_INDIVIDUOS_RESIDENT_H_65,N_INDIVIDUOS_RESIDENT_M_0A4,N_INDIVIDUOS_RESIDENT_M_5A9,N_INDIVIDUOS_RESIDENT_M_10A13,N_INDIVIDUOS_RESIDENT_M_14A19,N_INDIVIDUOS_RESIDENT_M_15A19,N_INDIVIDUOS_RESIDENT_M_20A24,N_INDIVIDUOS_RESIDENT_M_20A64,N_INDIVIDUOS_RESIDENT_M_25A64,N_INDIVIDUOS_RESIDENT_M_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_FENSINO_1BAS,N_IND_RESIDENT_FENSINO_2BAS,N_IND_RESIDENT_FENSINO_3BAS,N_IND_RESIDENT_FENSINO_SEC,N_IND_RESIDENT_FENSINO_POSSEC,N_IND_RESIDENT_FENSINO_SUP,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_1EMPRG,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON,N_IND_RESID_EMPREG_SECT_PRIM,N_IND_RESID_EMPREG_SECT_SEQ,N_IND_RESID_EMPREG_SECT_TERC,N_IND_RESID_ESTUD_MUN_RESID,N_IND_RESID_TRAB_MUN_RESID
"MULTIPOLYGON (((-37811.4523 165300.4133,-37772.416 165303.702400001,-37773.0591 165314.243,-37772.2207 165372.117699999,-37770.1219 165392.983899999,-37769.2541 165400.8616,-37767.9262 165412.907099999,-37764.1826 165433.9453,-37759.255 165458.7903,-37753.1456 165486.8892,-37751.3647 165493.78,-37748.415 165505.1905,-37741.1405 165530.980599999,-37732.6652 165559.6335,-37725.7667 165582.9266,-37718.3092 165605.866699999,-37743.4172 165614.5492,-37757.0237 165618.456,-37772.424 165614.177100001,-37861.8286 165557.174900001,-37916.859 165527.3258,-37941.1093 165463.601199999,-37943.1261 165453.2816,-37943.4081 165445.541200001,-37945.5998 165327.612600001,-37950.0766 165327.297499999,-37953.0895 165326.6976,-37954.5284 165326.410599999,-37958.6322 165325.0616,-37962.344 165323.3486,-37965.7339 165321.308700001,-37969.0437 165318.7788,-37972.2015 165315.721899999,-37975.0954 165312.135,-37977.6072 165308.044199999,-37979.6181 165303.509299999,-37981.026 165298.626499999,-37981.7499 165293.5207,-37981.7489 165290.9288,-37981.7488 165288.3369,-37981.0248 165283.2301,-37979.6168 165278.3473,-37977.6059 165273.8125,-37975.094 165269.7217,-37972.2 165266.1349,-37969.0421 165263.078,-37965.7323 165260.5491,-37962.3424 165258.509199999,-37958.6305 165256.7963,-37954.5267 165255.4474,-37953.3917 165255.2214,-37950.0749 165254.5604,-37945.3471 165254.227499999,-37940.4453 165254.5275,-37935.4965 165255.5155,-37930.6457 165257.2094,-37926.043 165259.5854,-37921.8272 165262.5803,-37918.1144 165266.0941,-37914.9865 165270.002,-37912.4867 165274.1678,-37910.6208 165278.454700001,-37909.3609 165282.7415,-37908.655 165286.9264,-37908.436 165290.929199999,-37908.6 165293.926100001,-37902.4543 165292.747199999,-37811.4523 165300.4133)))","1","1622","1312","03","023","03","13120302303","007437",Porto,"199611","2011","13120302303",,"8",Subsecção,"29","28","4","14","10","1","0","29","0","0","26","3","0","4","23","0","0","0","0","0","0","0","2","1","0","28","0","0","31","31","31","0","0","17","17","14","17","17","17","17","2","8","7","0","1","8","6","2","1","11","5","17","0","11","6","10","0","16","1","0","13","4","2","0","0","6","37","15","22","38","14","24","0","0","0","2","2","1","20","19","16","0","0","0","0","0","0","7","7","7","0","0","0","2","2","1","13","12","9","2","0","0","0","3","0","2","12","2","6","5","0","10","0","1","15","17","22","1","2","12","3","11"
"MULTIPOLYGON (((-37250.381 166557.146299999,-37213.056 166598.9498,-37209.2322 166605.8846,-37208.0373 166614.0143,-37209.1133 166621.188,-37213.5352 166628.002699999,-37222.6109 166635.9153,-37347.9124 166608.947799999,-37356.723 166607.0518,-37358.1349 166606.7478,-37359.4868 166594.5243,-37362.6295 166580.698799999,-37371.338 166569.6952,-37384.0154 166557.843599999,-37391.9629 166540.635299999,-37401.2003 166518.5821,-37402.6291 166501.3728,-37402.5549 166486.7893,-37386.6736 166482.751599999,-37373.0742 166488.680400001,-37373.9921 166476.629899999,-37371.8392 166477.706900001,-37368.3163 166478.490800001,-37364.4015 166478.7838,-37352.169 166478.491900001,-37346.4932 166478.002,-37342.8574 166476.883,-37333.0028 166474.1942,-37327.329 166470.6094,-37324.343 166465.5306,-37250.381 166557.146299999)))","2","1623","1312","03","011","07","13120301107","007437",Porto,"199535","2011","13120301107",,"8",Subsecção,"36","28","4","14","10","8","0","31","5","0","20","15","1","0","2","11","4","13","6","0","0","0","0","33","2","0","1","0","72","72","72","0","0","55","55","11","55","55","55","55","7","30","14","4","1","22","15","5","0","33","20","57","0","29","22","16","15","43","13","1","50","23","7","5","15","26","145","68","77","152","75","77","3","7","6","16","13","9","98","89","22","1","5","1","7","7","3","49","46","12","2","2","5","9","6","6","49","43","10","1","6","5","7","6","0","11","36","26","34","22","4","15","1","14","54","32","64","0","8","46","33","43"
"MULTIPOLYGON (((-36982.2433 166556.512700001,-37018.1411 166598.5288,-37039.2395 166623.107799999,-37060.3513 166596.4377,-37040.553 166575.297599999,-37038.496 166570.310900001,-37006.424 166533.206499999,-36982.2433 166556.512700001)))","3","1624","1312","03","008","04","13120300804","007437",Porto,"199513","2011","13120300804",,"8",Subsecção,"9","9","0","3","6","0","0","9","0","0","7","2","0","0","0","4","2","0","0","1","2","0","0","0","0","0","9","0","9","9","9","0","0","7","7","0","7","7","7","7","0","4","3","0","0","0","3","3","0","7","0","7","0","6","0","6","0","7","0","0","5","0","0","0","0","1","13","8","5","15","9","6","0","0","0","0","0","0","6","6","9","0","0","0","0","0","0","4","4","5","0","0","0","0","0","0","2","2","4","0","0","0","0","0","0","1","3","3","3","3","0","3","0","0","2","10","13","0","2","0","1","1"
"MULTIPOLYGON (((-36851.6808 166221.388699999,-36843.7522 166233.8862,-36834.6407 166247.7437,-36856.3918 166252.6054,-36881.2348 166251.485300001,-36891.0394 166251.043299999,-36896.954 166241.5537,-36861.9482 166205.201300001,-36851.6808 166221.388699999)))","4","1625","1312","03","018","05","13120301805","007437",Porto,"199575","2011","13120301805",,"8",Subsecção,"5","5","2","3","0","0","0","5","0","0","5","0","0","0","2","0","0","3","0","0","0","0","0","3","1","1","0","0","5","5","5","0","0","5","5","0","5","5","5","5","1","2","2","0","0","1","2","0","0","4","1","5","0","4","1","4","1","5","0","0","3","1","0","0","1","0","11","6","5","11","6","5","0","0","1","0","0","0","4","4","6","0","0","1","0","0","0","2","2","3","0","0","0","0","0","0","2","2","3","0","1","0","0","0","0","1","3","1","2","1","0","2","0","0","4","6","6","0","0","4","2","3"
"MULTIPOLYGON (((-36502.268 165588.897700001,-36507.7458 165588.3477,-36527.7009 165588.5306,-36541.7863 165587.429500001,-36552.5459 165586.329500001,-36556.7257 165586.7795,-36558.2866 165587.352499999,-36565.4564 165594.690099999,-36614.1658 165651.8566,-36632.5049 165636.2721,-36656.0317 165616.2788,-36679.8715 165595.772500001,-36692.7608 165575.1522,-36705.764 165554.348,-36709.7188 165548.019200001,-36728.0587 165515.738399999,-36730.8076 165510.899599999,-36738.4312 165502.823899999,-36749.6536 165495.712099999,-36774.4795 165490.2162,-36787.402 165490.8631,-36790.4088 165491.756100001,-36798.9715 165495.3079,-36803.9733 165498.8477,-36808.9741 165502.386499999,-36815.2009 165508.5813,-36820.1078 165514.421,-36824.8256 165522.208699999,-36827.4676 165528.9334,-36830.8645 165538.918,-36831.0975 165540.3709,-36834.0726 165558.917199999,-36835.3947 165581.6732,-36842.7531 165549.817500001,-36846.1498 165527.518300001,-36846.5945 165500.7404,-36848.9268 165431.585200001,-36849.9493 165383.3291,-36848.7372 165368.068700001,-36845.1022 165350.2094,-36840.2023 165338.401900001,-36837.0374 165334.017100001,-36831.1468 165341.8598,-36821.3453 165352.146500001,-36804.0772 165371.4048,-36785.6421 165388.257200001,-36767.907 165404.671599999,-36727.3031 165443.6263,-36714.3338 165456.015900001,-36674.0349 165495.830499999,-36658.1067 165510.369,-36633.0659 165532.202299999,-36621.9155 165539.725,-36609.9821 165546.8818,-36595.5047 165554.5876,-36585.3322 165558.623500001,-36570.6599 165563.761299999,-36559.9004 165565.962300001,-36544.0531 165568.7163,-36528.3267 165570.1833,-36520.6971 165570.1833,-36507.3506 165569.7204,-36494.1752 165571.8564,-36497.3801 165575.417300001,-36501.297 165581.827,-36502.268 165588.897700001)))","5","1626","1312","03","034","03","13120303403","007437",Porto,"199660","2011","13120303403",,"8",Subsecção,"17","0","0","0","0","17","0","17","0","0","0","17","0","0","0","0","0","8","5","4","0","0","0","17","0","0","0","0","140","139","139","0","1","132","132","4","132","132","132","131","19","96","16","1","2","67","11","0","1","48","81","132","1","65","54","48","25","97","28","7","120","59","17","12","24","62","370","155","215","376","157","219","14","9","8","24","20","23","262","239","59","9","3","3","8","8","9","114","105","20","5","6","5","16","12","14","148","134","39","28","7","7","15","13","2","8","131","60","67","34","2","13","9","34","133","100","165","1","23","109","56","93"
"MULTIPOLYGON (((-36405.4188 165547.0339,-36423.3141 165548.7117,-36462.4835 165560.462,-36487.4095 165567.9396,-36494.1752 165571.8564,-36507.3506 165569.7204,-36520.6971 165570.1833,-36528.3267 165570.1833,-36544.0531 165568.7163,-36559.9004 165565.962300001,-36570.6599 165563.761299999,-36585.3322 165558.623500001,-36595.5047 165554.5876,-36609.9821 165546.8818,-36621.9155 165539.725,-36633.0659 165532.202299999,-36658.1067 165510.369,-36674.0349 165495.830499999,-36714.3338 165456.015900001,-36727.3031 165443.6263,-36767.907 165404.671599999,-36785.6421 165388.257200001,-36804.0772 165371.4048,-36821.3453 165352.146500001,-36831.1468 165341.8598,-36837.0374 165334.017100001,-36833.0016 165328.427300001,-36823.6369 165319.8507,-36820.974 165317.9038,-36812.5474 165327.964500001,-36802.7909 165337.759099999,-36793.9974 165345.5319,-36773.1965 165365.1982,-36745.2829 165391.849300001,-36734.9394 165401.9669,-36725.8149 165408.8047,-36720.9801 165413.4365,-36715.6754 165418.178400001,-36709.2447 165424.0942,-36707.3918 165427.5701,-36705.7859 165430.119,-36703.809 165432.6679,-36702.0791 165434.752800001,-36663.1101 165473.4475,-36625.903 165508.5922,-36618.9794 165513.4881,-36607.8289 165519.5429,-36598.2423 165523.2138,-36589.6347 165525.5988,-36579.0702 165526.8828,-36572.4195 165527.433800001,-36563.2249 165527.433800001,-36553.4433 165526.332900001,-36530.3582 165520.645300001,-36500.6214 165511.6568,-36475.7814 165504.6942,-36469.2517 165503.135299999,-36462.753 165502.0264,-36455.6643 165501.4724,-36450.5435 165501.842399999,-36443.2578 165503.6894,-36435.9711 165506.2743,-36427.1096 165511.2622,-36417.854 165519.7579,-36411.5524 165528.807600001,-36406.9297 165541.654100001,-36405.4188 165547.0339)))","6","1627","1312","03","034","04","13120303404","007437",Porto,"199661","2011","13120303404",,"8",Subsecção,"2","0","0","0","0","2","0","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","2","0","0","0","0","16","16","16","0","0","11","11","2","11","11","11","11","2","8","1","0","1","6","1","0","0","1","10","11","0","6","4","2","3","5","4","2","9","3","2","1","3","4","27","13","14","27","13","14","0","3","1","3","3","1","17","16","3","0","2","1","1","1","0","7","7","2","0","1","0","2","2","1","10","9","1","1","2","1","1","1","0","0","9","3","6","5","0","0","2","6","8","4","7","0","1","7","5","3"
"MULTIPOLYGON (((-36705.4093 167279.518300001,-36722.2354 167253.5492,-36728.5931 167252.9132,-36756.3459 167250.1382,-36847.9313 167160.632300001,-36890.9951 167108.4652,-36902.1635 167097.4596,-36906.7683 167095.8336,-36920.8517 167095.2916,-36931.9562 167092.853599999,-36978.885 167059.2127,-37055.6523 167122.8618,-37229.2814 166937.1963,-37229.9242 166921.1339,-37220.9285 166911.496400001,-37206.151 166894.1491,-37187.5186 166876.801899999,-37159.8915 166852.387,-37193.3008 166817.0503,-37177.2383 166796.4902,-37157.321 166782.355799999,-37188.1604 166750.8729,-37209.3623 166732.8835,-37172.7396 166699.474,-37152.9742 166677.522,-37154.3251 166669.6753,-37165.5975 166657.8017,-37176.8619 166649.603,-37184.0166 166645.7751,-37222.6109 166635.9153,-37213.5352 166628.002699999,-37209.1133 166621.188,-37208.0373 166614.0143,-37209.2322 166605.8846,-37213.056 166598.9498,-37250.381 166557.146299999,-37324.343 166465.5306,-37363.071 166422.111099999,-37444.5247 166330.792300001,-37444.6376 166317.6218,-37491.591 166248.2744,-37534.8786 166194.374299999,-37509.6427 166192.692500001,-37487.3136 166194.770500001,-37469.0805 166201.112299999,-37459.8112 166208.4099,-37455.4721 166211.826,-37430.0545 166240.661,-37383.035 166294.7371,-37375.0244 166301.536800001,-37364.3429 166308.8226,-37319.676 166336.2667,-37314.5383 166341.378599999,-37311.5774 166337.762700001,-37307.0345 166334.0769,-37302.1467 166331.456,-37298.5789 166330.3531,-37296.389 166329.676100001,-37289.8972 166329.0812,-37283.0555 166329.9892,-37276.3968 166332.5351,-37274.3119 166333.970100001,-37270.4981 166336.596,-37267.8923 166339.494899999,-37265.8194 166341.799799999,-37263.5045 166345.9836,-37262.5955 166347.628599999,-37260.8137 166353.567399999,-37260.2808 166359.210100001,-37260.8138 166364.8529,-37261.7048 166367.821799999,-37262.5958 166370.7907,-37265.8197 166376.6194,-37270.4985 166381.8222,-37276.3973 166385.884,-37277.8883 166386.454,-37271.8216 166398.7235,-37262.9562 166421.238600001,-37255.6817 166436.9311,-37247.9521 166453.306500001,-37245.6783 166458.7652,-37243.1044 166463.790100001,-37238.3157 166473.238700001,-37223.3545 166492.897,-37212.5081 166503.9826,-37195.445 166520.0551,-37178.0538 166533.840600001,-37153.185 166548.577099999,-37099.8735 166578.293199999,-37081.6104 166592.3188,-37061.9504 166609.0112,-37020.0306 166653.4156,-37015.1898 166658.543500001,-36986.9183 166688.489399999,-36945.9403 166726.0481,-36929.0471 166736.6568,-36890.7049 166757.418199999,-36905.8183 166760.353,-36919.9078 166769.023499999,-36931.8294 166781.487,-36801.2331 166923.466,-36837.5409 166954.896600001,-36839.9728 166957.001499999,-36613.4257 167236.886399999,-36606.7101 167244.5382,-36625.4285 167272.7579,-36639.363 167277.829700001,-36681.6083 167276.945499999,-36705.4093 167279.518300001)))","7","1628","1312","03","008","01","13120300801","007437",Porto,"199510","2011","13120300801",,"8",Subsecção,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MULTIPOLYGON (((-36962.541 166543.883300001,-36970.0817 166547.565099999,-36980.4223 166555.172800001,-36982.2433 166556.512700001,-37006.424 166533.206499999,-36996.7053 166521.865,-36995.5024 166519.361099999,-36995.0854 166517.0032,-36994.6844 166515.236300001,-36994.5993 166512.6284,-36994.9913 166509.0975,-36995.5023 166507.5626,-36997.1912 166504.8517,-36999.3891 166502.478800001,-37002.0509 166500.3148,-37003.6848 166499.2169,-37005.7757 166498.369899999,-37020.8391 166497.8838,-37019.3369 166463.494200001,-36982.7924 166465.770300001,-36965.2522 166473.211100001,-36920.7001 166475.6152,-36903.3558 166471.011499999,-36912.5685 166479.9671,-36919.0633 166488.151699999,-36926.1261 166498.2213,-36931.424 166509.6888,-36933.485 166520.317399999,-36933.4851 166534.581800001,-36931.9673 166547.6823,-36939.571 166545.110400001,-36948.8646 166544.409299999,-36956.9302 166543.7073,-36962.541 166543.883300001)))","8","1629","1312","03","015","03","13120301503","007437",Porto,"199555","2011","13120301503",,"8",Subsecção,"10","10","0","10","0","0","0","10","0","0","10","0","0","0","1","1","3","0","2","1","0","1","1","8","2","0","0","0","10","10","10","0","0","6","6","4","6","6","6","6","0","3","2","1","0","1","1","5","0","4","1","6","0","3","3","2","1","6","0","0","6","1","2","0","1","2","16","7","9","17","8","9","0","1","1","0","0","1","12","11","3","0","0","0","0","0","0","7","7","1","0","1","1","0","0","1","5","4","2","0","1","1","0","0","0","1","3","0","2","7","0","3","0","0","6","4","9","0","0","6","3","2"
"MULTIPOLYGON (((-42464.8327 166303.1808,-42462.8278 166305.6448,-42458.5811 166316.965399999,-42454.9554 166328.865900001,-42462.1572 166340.0243,-42466.0311 166345.613,-42467.969 166348.4099,-42475.7928 166358.681299999,-42487.1923 166364.131899999,-42500.2627 166366.101500001,-42506.2085 166366.101399999,-42512.3822 166364.8144,-42519.9288 166362.0264,-42525.6895 166357.191500001,-42528.6174 166354.7335,-42533.6481 166349.5867,-42537.7639 166343.796800001,-42542.1656 166339.035,-42541.9366 166333.245200001,-42541.2506 166327.0255,-42540.1065 166320.163799999,-42538.7346 166315.231,-42537.3626 166311.371200001,-42536.4716 166308.745300001,-42581.8415 166301.4409,-42590.8831 166301.9977,-42639.9021 166313.1164,-42659.8512 166317.7498,-42656.1513 166301.6316,-42648.9174 166288.132300001,-42606.4639 166240.969,-42559.7584 166188.009099999,-42524.4061 166204.126,-42442.2407 166197.8837,-42424.2685 166197.069,-42386.1161 166192.6909,-42384.0375 166222.843599999,-42346.8273 166247.4552,-42350.7642 166252.9559,-42354.1972 166264.7664,-42354.2903 166272.0031,-42313.5381 166273.4497,-42344.7247 166277.871,-42354.3833 166279.240800001,-42374.7175 166282.125299999,-42421.3564 166286.6283,-42424.2693 166287.404200001,-42436.4218 166290.642899999,-42455.4521 166298.2282,-42464.8327 166303.1808)))","9","1760","1312","11","053","03","13121105303","007437",Porto,"200912","2011","13121105303",,"8",Subsecção,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MULTIPOLYGON (((-41146.5706 167891.3543,-41146.5958 167891.383300001,-41150.3287 167895.678,-41184.4806 167936.126700001,-41187.4755 167938.7345,-41189.1864 167940.204399999,-41191.7533 167941.8093,-41194.9622 167942.3442,-41198.0991 167941.8752,-41201.4499 167940.6052,-41206.7186 167938.4242,-41416.0255 167854.8147,-41373.8721 167752.233100001,-41334.4732 167767.992699999,-41292.8859 167767.5306,-41254.9952 167770.7652,-41204.1446 167792.7454,-41181.5111 167832.6372,-41150.0172 167888.145400001,-41147.3178 167889.985,-41146.5706 167891.3543)))","10","7692","1312","11","009","01","13121100901","007437",Porto,"200735","2011","13121100901",,"8",Subsecção,"14","0","0","0","0","13","1","11","2","1","0","0","14","0","0","0","0","8","0","0","0","3","3","12","2","0","0","0","354","353","353","0","1","282","282","35","282","282","282","282","9","85","185","3","2","126","148","19","5","217","50","282","0","147","122","58","73","230","46","6","214","89","56","40","76","97","676","293","383","708","309","399","38","32","23","57","45","45","481","436","77","18","13","10","28","21","19","205","186","35","20","19","13","29","24","26","276","250","42","2","25","13","34","32","3","47","55","69","103","166","5","223","15","43","345","94","200","1","35","309","156","253"
"MULTIPOLYGON (((-41373.8721 167752.233100001,-41416.0255 167854.8147,-41477.3525 167829.4056,-41455.4898 167764.446699999,-41433.1941 167698.9099,-41371.0011 167720.4211,-41368.2593 167723.3081,-41366.6724 167726.7729,-41366.2394 167730.525800001,-41366.6725 167734.7126,-41373.8721 167752.233100001)))","11","7828","1312","11","006","02","13121100602","007437",Porto,"200723","2011","13121100602",,"8",Subsecção,"12","9","4","5","0","3","0","12","0","0","8","4","0","0","0","4","0","1","6","1","0","0","0","12","0","0","0","0","20","20","20","0","0","15","15","2","15","15","15","14","1","1","10","3","0","1","6","8","0","9","6","15","0","9","5","10","3","12","3","0","13","6","0","2","3","3","37","15","22","37","15","22","1","1","1","2","2","0","18","18","14","1","0","1","1","1","0","6","6","6","0","1","0","1","1","0","12","12","8","0","0","1","1","1","0","1","10","7","6","2","0","8","2","1","10","14","21","0","1","9","4","9"
"MULTIPOLYGON (((-41236.9956 167732.861300001,-41205.3645 167790.495100001,-41204.1446 167792.7454,-41254.9952 167770.7652,-41292.8859 167767.5306,-41334.4732 167767.992699999,-41373.8721 167752.233100001,-41366.6725 167734.7126,-41366.2394 167730.525800001,-41366.6724 167726.7729,-41368.2593 167723.3081,-41371.0011 167720.4211,-41433.1941 167698.9099,-41419.1684 167659.501800001,-41401.6077 167613.914,-41396.3578 167604.704399999,-41380.4164 167590.170299999,-41374.1988 167575.62,-41374.1875 167575.6241,-41353.2381 167583.2447,-41325.7584 167594.684800001,-41313.9291 167606.0855,-41304.6792 167618.805299999,-41280.8845 167659.2172,-41250.5623 167710.7151,-41238.8925 167729.405,-41236.9956 167732.861300001)))","12","7832","1312","11","012","01","13121101201","007437",Porto,"200747","2011","13121101201",,"8",Subsecção,"11","0","0","0","0","11","0","9","2","0","0","0","11","0","0","0","0","6","0","4","1","0","0","11","0","0","0","0","342","342","342","0","0","286","286","35","286","286","286","286","7","137","142","0","2","149","235","13","1","232","34","286","0","160","120","62","59","242","38","6","219","102","41","25","57","101","675","300","375","685","307","378","23","27","18","39","34","34","495","461","83","13","15","10","18","17","15","222","207","29","10","12","8","21","17","19","273","254","54","12","24","8","22","29","3","33","130","65","124","135","12","146","13","40","327","130","232","1","40","286","118","225"
"MULTIPOLYGON (((-38155.2161 167573.399499999,-38156.0601 167583.7411,-38171.1444 167673.227399999,-38170.7225 167686.311899999,-38168.9297 167697.077500001,-38178.6042 167689.938200001,-38194.5331 167689.6196,-38213.9664 167686.433800001,-38289.788 167677.195,-38317.8228 167673.6907,-38340.1233 167669.867699999,-38352.6328 167661.976,-38361.9994 167657.529100001,-38335.0595 167591.318700001,-38324.2142 167563.1796,-38317.1795 167552.920600001,-38308.9722 167546.7652,-38297.2476 167542.075300001,-38289.9197 167541.782199999,-38257.0908 167549.403200001,-38181.1739 167572.5593,-38163.8801 167573.4387,-38155.2161 167573.399499999)))","13","8098","1312","10","027","01","13121002701","007437",Porto,"200495","2011","13121002701",,"8",Subsecção,"9","2","2","0","0","7","0","8","1","0","2","0","7","0","0","0","0","0","3","0","0","0","6","7","0","0","2","0","341","341","341","0","0","118","118","105","118","118","118","118","19","75","22","2","8","89","103","12","3","28","88","120","0","100","19","4","20","109","10","1","62","18","5","14","20","5","456","245","211","215","107","108","16","7","3","4","4","18","179","161","6","8","5","3","2","2","9","87","78","2","8","2","0","2","2","9","92","83","4","0","7","1","4","3","0","33","5","5","16","31","3","132","1","11","158","8","19","1","15","142","44","93"
